wind_speed,wind_impact_duration,water_deep,wave_height
33.78,53.59,95.5,52.1
98.4,26.23,42.28,18.4
72.29,68.13,8.2,16.1
21.93,82.58,7.81,59.2
14.35,12.56,57.29,69.9
76.98,37.75,62.43,33.9
30.31,32.51,41.28,28.4
75.79,47.48,99.53,23.6
22.7,25.25,37.36,38.3
87.62,82.3,30.34,37.2
13.39,27.81,21.71,99.2
38.59,27.98,49.47,30.0
18.08,38.93,28.55,21.9
47.03,47.41,52.36,54.5
14.27,33.52,64.7,15.1
14.07,70.04,39.66,30.4
10.31,19.04,26.41,69.8
69.4,58.34,21.88,20.8
37.16,69.46,25.95,37.5
15.51,4.58,40.51,17.7
8.92,43.44,83.79,68.2
23.49,20.31,46.4,81.1
97.99,22.33,29.98,90.3
96.59,55.83,48.0,20.2
4.22,65.22,46.52,59.4
13.32,13.2,20.52,11.2
24.36,78.47,10.0,86.7
56.05,4.11,63.63,43.8
30.4,31.9,67.87,48.9
6.44,97.21,89.46,12.7
42.17,54.62,77.9,63.4
43.71,47.68,16.72,87.1
58.57,6.59,89.96,11.6
73.34,74.37,29.89,59.7
75.96,79.3,28.99,59.1
80.8,83.24,25.81,78.9
83.69,51.18,69.21,3.4
5.21,80.76,33.61,15.0
80.8,12.94,75.78,71.4
33.65,39.45,17.44,81.4
99.09,23.62,6.4,94.8
49.7,97.73,33.99,43.7
92.81,56.63,56.73,49.6
39.44,25.34,72.07,58.2
51.21,20.72,50.64,85.4
14.45,31.45,30.47,96.9
8.14,32.46,63.13,63.7
78.88,3.0,34.8,4.2
48.45,42.72,65.98,8.5
73.84,79.71,46.9,16.4
96.65,54.96,6.88,26.1
99.7,82.11,54.89,21.3
9.23,55.0,95.28,37.7
98.3,92.25,91.93,12.0
19.41,4.87,62.27,49.3
44.84,16.41,29.36,59.4
28.95,80.08,48.56,66.1
57.83,68.72,64.22,87.8
20.78,92.38,87.3,67.3
82.69,91.7,58.72,96.4
69.88,84.79,75.04,85.6
2.37,42.45,52.07,78.4
74.08,40.27,10.44,18.0
46.4,90.8,93.51,59.1
40.76,18.52,40.38,65.5
68.54,52.07,26.19,40.1
93.67,20.56,53.76,97.1
35.76,72.73,23.84,5.8
99.9,60.81,99.3,5.5
21.3,3.47,10.51,20.9
95.28,73.37,22.58,19.5
62.2,48.08,16.23,6.2
74.09,77.19,83.59,50.4
6.75,38.44,60.04,77.2
78.3,4.5,48.92,68.3
14.36,35.76,90.04,28.5
16.52,91.64,99.65,14.9
42.33,7.33,74.34,52.8
24.21,43.69,18.57,3.8
27.0,34.01,93.8,19.9
75.65,21.8,97.51,78.1
35.99,40.78,85.14,82.6
1.17,86.07,44.14,32.6
11.9,11.48,44.31,10.3
41.42,22.52,29.37,84.5
15.63,61.55,66.04,75.8
51.85,13.95,63.22,29.8
42.85,35.8,74.84,13.4
43.66,88.08,13.3,14.1
58.19,64.12,67.58,4.5
79.99,68.84,12.45,53.5
3.19,84.33,36.03,68.7
50.2,27.26,97.27,93.7
62.26,11.81,92.36,21.4
68.49,20.6,78.23,19.4
57.39,71.41,93.22,21.7
59.35,49.7,53.98,59.1
26.5,22.45,40.08,93.8
94.86,19.65,8.8,21.3
43.98,10.16,6.65,62.4
61.36,45.51,94.33,10.3
76.85,3.28,50.69,50.7
32.04,44.33,53.41,51.2
60.52,20.3,7.88,51.5
58.55,10.08,69.87,27.4
87.39,71.22,44.69,36.3
18.54,75.77,20.1,43.7
63.62,81.63,96.64,74.6
26.55,13.68,77.37,28.6
51.45,43.81,1.84,16.3
78.89,66.43,43.34,59.8
34.82,35.79,41.49,54.9
61.3,10.08,53.87,68.9
60.74,21.57,2.23,61.7
14.12,3.37,71.5,35.1
5.21,61.05,69.31,90.6
56.54,30.34,41.03,55.6
98.65,50.02,6.16,39.1
85.79,92.41,12.45,58.1
61.5,75.2,91.65,39.3
8.13,21.77,89.47,38.3
25.67,15.11,5.51,43.3
47.2,60.58,72.27,1.5
41.54,25.2,96.13,64.9
80.52,51.37,72.57,66.1
44.76,91.08,39.21,90.1
14.28,33.04,34.5,79.5
7.98,38.94,17.97,96.3
63.73,30.79,66.82,83.5
39.91,50.63,72.73,64.9
33.25,10.23,29.51,9.6
37.27,20.63,87.29,39.0
56.02,44.08,19.27,92.9
34.82,19.0,76.98,68.4
6.47,79.87,77.36,18.2
41.57,9.55,43.96,90.4
14.15,95.74,84.11,45.8
61.74,4.64,45.15,72.1
8.65,49.26,5.37,71.9
59.44,63.83,92.44,16.9
79.61,70.6,64.54,66.4
33.39,76.58,44.09,76.9
86.58,58.27,24.96,62.7
72.36,48.92,88.46,70.6
88.41,92.25,78.66,77.0
40.44,99.72,22.77,91.6
74.25,7.71,48.91,21.2
52.54,52.3,10.24,59.1
94.17,51.22,27.07,80.1
32.49,71.87,79.55,83.4
34.8,18.65,28.43,73.2
7.1,89.72,59.38,80.2
99.1,20.74,55.4,8.6
78.44,56.94,72.5,64.3
11.0,59.01,82.07,23.3
30.31,96.94,78.44,70.3
26.27,2.1,39.5,61.2
6.72,99.6,2.62,99.6
14.66,65.8,43.52,32.8
54.32,11.48,47.47,54.3
69.6,12.72,69.16,96.1
41.2,5.12,97.19,86.0
60.13,51.48,39.61,33.3
1.01,87.8,65.53,15.9
89.52,83.68,55.06,64.3
87.6,90.6,37.36,23.2
70.52,12.43,20.76,42.7
41.06,16.67,12.18,11.9
29.53,11.53,1.43,75.0
22.33,85.19,11.39,41.6
39.49,8.12,68.88,14.3
18.5,56.77,63.73,30.1
71.53,23.7,3.9,58.9
28.97,17.79,64.29,17.0
35.54,65.22,7.01,69.8
86.09,1.77,78.12,65.5
97.08,54.66,91.22,85.0
4.18,47.42,99.6,73.0
15.08,21.29,76.77,3.2
8.67,4.51,72.2,82.8
43.64,61.3,20.05,81.8
78.63,93.59,35.61,83.3
67.44,33.84,7.27,48.1
27.82,23.99,59.1,86.1
